PolicyNumber,CustomerName,DOB,PAN,Mobile,Email,Insurer,VehicleType,VehicleRegNo,IDV,AnnualPremium,PolicyStartDate,PolicyEndDate,City
A-RKS-01,Rajesh Kumar Sharma,19780412,PRKAS3456R,919876512301,rajesh.sharma@ymail.in,HDFC ERGO,Car,DL01CA1301,210000,3500,20230301,20240630,New Delhi
A-RKS-02,Rajesh Kumar Sharma,19780412,PRKAS3456R,919876512301,rajesh.sharma@ymail.in,ICICI Lombard,Bike,MH12BK1302,255000,4300,20221001,20250315,New Delhi
A-RKS-03,Rajesh Kumar Sharma,19780412,PRKAS3456R,919876512301,rajesh.sharma@ymail.in,Bajaj Allianz General,Car,KA03CA1303,300000,5100,20240101,20281231,New Delhi
A-RKS-04,Rajesh Kumar Sharma,19780412,PRKAS3456R,919876512301,rajesh.sharma@ymail.in,Tata AIG,Bike,TN09BK1304,345000,5900,20230501,20290930,New Delhi
A-RKS-05,Rajesh Kumar Sharma,19780412,PRKAS3456R,919876512301,rajesh.sharma@ymail.in,SBI General,Car,TS07CA1305,390000,6700,20240601,20260412,New Delhi
A-RKS-06,Rajesh Kumar Sharma,19780412,PRKAS3456R,919876512301,rajesh.sharma@ymail.in,Reliance General,Car,KA01CA1306,435000,7500,20240615,20260328,New Delhi
A-PVK-01,Priya Venkatesh,19910522,VENPK7890P,919812345672,priya.venkat@ymail.in,HDFC ERGO,Car,DL01CA1302,220000,3500,20230301,20240630,Chennai
A-PVK-02,Priya Venkatesh,19910522,VENPK7890P,919812345672,priya.venkat@ymail.in,ICICI Lombard,Bike,MH12BK1303,265000,4300,20221001,20250315,Chennai
A-PVK-03,Priya Venkatesh,19910522,VENPK7890P,919812345672,priya.venkat@ymail.in,Bajaj Allianz General,Car,KA03CA1304,310000,5100,20240101,20281231,Chennai
A-PVK-04,Priya Venkatesh,19910522,VENPK7890P,919812345672,priya.venkat@ymail.in,Tata AIG,Bike,TN09BK1305,355000,5900,20230501,20290930,Chennai
A-PVK-05,Priya Venkatesh,19910522,VENPK7890P,919812345672,priya.venkat@ymail.in,SBI General,Car,TS07CA1306,400000,6700,20240601,20260412,Chennai
A-PVK-06,Priya Venkatesh,19910522,VENPK7890P,919812345672,priya.venkat@ymail.in,Reliance General,Car,KA01CA1307,445000,7500,20240615,20260328,Chennai
A-AKU-01,Amitabh Kulkarni,19861103,KULAM2345K,919823456783,amit.kulkarni@ymail.in,HDFC ERGO,Car,DL01CA1303,230000,3500,20230301,20240630,Pune
A-AKU-02,Amitabh Kulkarni,19861103,KULAM2345K,919823456783,amit.kulkarni@ymail.in,ICICI Lombard,Bike,MH12BK1304,275000,4300,20221001,20250315,Pune
A-AKU-03,Amitabh Kulkarni,19861103,KULAM2345K,919823456783,amit.kulkarni@ymail.in,Bajaj Allianz General,Car,KA03CA1305,320000,5100,20240101,20281231,Pune
A-AKU-04,Amitabh Kulkarni,19861103,KULAM2345K,919823456783,amit.kulkarni@ymail.in,Tata AIG,Bike,TN09BK1306,365000,5900,20230501,20290930,Pune
A-AKU-05,Amitabh Kulkarni,19861103,KULAM2345K,919823456783,amit.kulkarni@ymail.in,SBI General,Car,TS07CA1307,410000,6700,20240601,20260412,Pune
A-AKU-06,Amitabh Kulkarni,19861103,KULAM2345K,919823456783,amit.kulkarni@ymail.in,Reliance General,Car,KA01CA1308,455000,7500,20240615,20260328,Pune
A-KVR-01,Kavitha Reddy,19930718,REDKY6789K,919834567894,kavitha.reddy@ymail.in,HDFC ERGO,Car,DL01CA1304,200000,3500,20230301,20240630,Hyderabad
A-KVR-02,Kavitha Reddy,19930718,REDKY6789K,919834567894,kavitha.reddy@ymail.in,ICICI Lombard,Bike,MH12BK1305,245000,4300,20221001,20250315,Hyderabad
A-KVR-03,Kavitha Reddy,19930718,REDKY6789K,919834567894,kavitha.reddy@ymail.in,Bajaj Allianz General,Car,KA03CA1306,290000,5100,20240101,20281231,Hyderabad
A-KVR-04,Kavitha Reddy,19930718,REDKY6789K,919834567894,kavitha.reddy@ymail.in,Tata AIG,Bike,TN09BK1307,335000,5900,20230501,20290930,Hyderabad
A-KVR-05,Kavitha Reddy,19930718,REDKY6789K,919834567894,kavitha.reddy@ymail.in,SBI General,Car,TS07CA1308,380000,6700,20240601,20260412,Hyderabad
A-KVR-06,Kavitha Reddy,19930718,REDKY6789K,919834567894,kavitha.reddy@ymail.in,Reliance General,Car,KA01CA1309,425000,7500,20240615,20260328,Hyderabad
A-SKR-01,Suresh Krishnan,19750228,KRISN4567S,919845678905,suresh.krishnan@ymail.in,HDFC ERGO,Car,DL01CA1305,210000,3500,20230301,20240630,Bengaluru
A-SKR-02,Suresh Krishnan,19750228,KRISN4567S,919845678905,suresh.krishnan@ymail.in,ICICI Lombard,Bike,MH12BK1306,255000,4300,20221001,20250315,Bengaluru
A-SKR-03,Suresh Krishnan,19750228,KRISN4567S,919845678905,suresh.krishnan@ymail.in,Bajaj Allianz General,Car,KA03CA1307,300000,5100,20240101,20281231,Bengaluru
A-SKR-04,Suresh Krishnan,19750228,KRISN4567S,919845678905,suresh.krishnan@ymail.in,Tata AIG,Bike,TN09BK1308,345000,5900,20230501,20290930,Bengaluru
A-SKR-05,Suresh Krishnan,19750228,KRISN4567S,919845678905,suresh.krishnan@ymail.in,SBI General,Car,TS07CA1309,390000,6700,20240601,20260412,Bengaluru
A-SKR-06,Suresh Krishnan,19750228,KRISN4567S,919845678905,suresh.krishnan@ymail.in,Reliance General,Car,KA01CA1310,435000,7500,20240615,20260328,Bengaluru
