Policy Number,Customer Name,DOB,Gender,PAN,Mobile,Email,Insurer,Plan Name,Coverage Amount,Annual Premium,Policy Start Date,Policy End Date,Policy Type,City
H-RKS-01,Rajesh Kumar Sharma,19780412,M,PRKAS3456R,919876512301,rajesh.sharma@ymail.in,Star Health,Comprehensive,400000,11000,20220101,20240630,Individual,New Delhi
H-RKS-02,Rajesh Kumar Sharma,19780412,M,PRKAS3456R,919876512301,rajesh.sharma@ymail.in,Care Health,Family Optima,475000,11900,20230101,20250228,Family Floater,New Delhi
H-RKS-03,Rajesh Kumar Sharma,19780412,M,PRKAS3456R,919876512301,rajesh.sharma@ymail.in,Niva Bupa,ReAssure,550000,12800,20240101,20281231,Individual,New Delhi
H-RKS-04,Rajesh Kumar Sharma,19780412,M,PRKAS3456R,919876512301,rajesh.sharma@ymail.in,Aditya Birla Health,Activ One,625000,13700,20230601,20300331,Family Floater,New Delhi
H-RKS-05,Rajesh Kumar Sharma,19780412,M,PRKAS3456R,919876512301,rajesh.sharma@ymail.in,ManipalCigna,ProHealth,700000,14600,20240701,20260420,Individual,New Delhi
H-RKS-06,Rajesh Kumar Sharma,19780412,M,PRKAS3456R,919876512301,rajesh.sharma@ymail.in,HDFC ERGO Health,Optima Restore,775000,15500,20240801,20260330,Family Floater,New Delhi
H-PVK-01,Priya Venkatesh,19910522,F,VENPK7890P,919812345672,priya.venkat@ymail.in,Star Health,Comprehensive,400000,11000,20220101,20240630,Individual,Chennai
H-PVK-02,Priya Venkatesh,19910522,F,VENPK7890P,919812345672,priya.venkat@ymail.in,Care Health,Family Optima,475000,11900,20230101,20250228,Family Floater,Chennai
H-PVK-03,Priya Venkatesh,19910522,F,VENPK7890P,919812345672,priya.venkat@ymail.in,Niva Bupa,ReAssure,550000,12800,20240101,20281231,Individual,Chennai
H-PVK-04,Priya Venkatesh,19910522,F,VENPK7890P,919812345672,priya.venkat@ymail.in,Aditya Birla Health,Activ One,625000,13700,20230601,20300331,Family Floater,Chennai
H-PVK-05,Priya Venkatesh,19910522,F,VENPK7890P,919812345672,priya.venkat@ymail.in,ManipalCigna,ProHealth,700000,14600,20240701,20260420,Individual,Chennai
H-PVK-06,Priya Venkatesh,19910522,F,VENPK7890P,919812345672,priya.venkat@ymail.in,HDFC ERGO Health,Optima Restore,775000,15500,20240801,20260330,Family Floater,Chennai
H-AKU-01,Amitabh Kulkarni,19861103,M,KULAM2345K,919823456783,amit.kulkarni@ymail.in,Star Health,Comprehensive,400000,11000,20220101,20240630,Individual,Pune
H-AKU-02,Amitabh Kulkarni,19861103,M,KULAM2345K,919823456783,amit.kulkarni@ymail.in,Care Health,Family Optima,475000,11900,20230101,20250228,Family Floater,Pune
H-AKU-03,Amitabh Kulkarni,19861103,M,KULAM2345K,919823456783,amit.kulkarni@ymail.in,Niva Bupa,ReAssure,550000,12800,20240101,20281231,Individual,Pune
H-AKU-04,Amitabh Kulkarni,19861103,M,KULAM2345K,919823456783,amit.kulkarni@ymail.in,Aditya Birla Health,Activ One,625000,13700,20230601,20300331,Family Floater,Pune
H-AKU-05,Amitabh Kulkarni,19861103,M,KULAM2345K,919823456783,amit.kulkarni@ymail.in,ManipalCigna,ProHealth,700000,14600,20240701,20260420,Individual,Pune
H-AKU-06,Amitabh Kulkarni,19861103,M,KULAM2345K,919823456783,amit.kulkarni@ymail.in,HDFC ERGO Health,Optima Restore,775000,15500,20240801,20260330,Family Floater,Pune
H-KVR-01,Kavitha Reddy,19930718,F,REDKY6789K,919834567894,kavitha.reddy@ymail.in,Star Health,Comprehensive,400000,11000,20220101,20240630,Individual,Hyderabad
H-KVR-02,Kavitha Reddy,19930718,F,REDKY6789K,919834567894,kavitha.reddy@ymail.in,Care Health,Family Optima,475000,11900,20230101,20250228,Family Floater,Hyderabad
H-KVR-03,Kavitha Reddy,19930718,F,REDKY6789K,919834567894,kavitha.reddy@ymail.in,Niva Bupa,ReAssure,550000,12800,20240101,20281231,Individual,Hyderabad
H-KVR-04,Kavitha Reddy,19930718,F,REDKY6789K,919834567894,kavitha.reddy@ymail.in,Aditya Birla Health,Activ One,625000,13700,20230601,20300331,Family Floater,Hyderabad
H-KVR-05,Kavitha Reddy,19930718,F,REDKY6789K,919834567894,kavitha.reddy@ymail.in,ManipalCigna,ProHealth,700000,14600,20240701,20260420,Individual,Hyderabad
H-KVR-06,Kavitha Reddy,19930718,F,REDKY6789K,919834567894,kavitha.reddy@ymail.in,HDFC ERGO Health,Optima Restore,775000,15500,20240801,20260330,Family Floater,Hyderabad
H-SKR-01,Suresh Krishnan,19750228,M,KRISN4567S,919845678905,suresh.krishnan@ymail.in,Star Health,Comprehensive,400000,11000,20220101,20240630,Individual,Bengaluru
H-SKR-02,Suresh Krishnan,19750228,M,KRISN4567S,919845678905,suresh.krishnan@ymail.in,Care Health,Family Optima,475000,11900,20230101,20250228,Family Floater,Bengaluru
H-SKR-03,Suresh Krishnan,19750228,M,KRISN4567S,919845678905,suresh.krishnan@ymail.in,Niva Bupa,ReAssure,550000,12800,20240101,20281231,Individual,Bengaluru
H-SKR-04,Suresh Krishnan,19750228,M,KRISN4567S,919845678905,suresh.krishnan@ymail.in,Aditya Birla Health,Activ One,625000,13700,20230601,20300331,Family Floater,Bengaluru
H-SKR-05,Suresh Krishnan,19750228,M,KRISN4567S,919845678905,suresh.krishnan@ymail.in,ManipalCigna,ProHealth,700000,14600,20240701,20260420,Individual,Bengaluru
H-SKR-06,Suresh Krishnan,19750228,M,KRISN4567S,919845678905,suresh.krishnan@ymail.in,HDFC ERGO Health,Optima Restore,775000,15500,20240801,20260330,Family Floater,Bengaluru
