PolicyNum,CustomerName,DOB,Gender,PAN,Mobile,Email,Insurer,PlanName,PolicyTerm,SumAssured,AnnualPrem,PolicyStart,PolicyEnd,NomineeName,NomineeRelation,City
L-RKS-01,Rajesh Kumar Sharma,19780412,M,PRKAS3456R,919876512301,rajesh.sharma@ymail.in,HDFC Life,Smart Protect,20,550000,8100,20200101,20240630,Spouse,Spouse,New Delhi
L-RKS-02,Rajesh Kumar Sharma,19780412,M,PRKAS3456R,919876512301,rajesh.sharma@ymail.in,SBI Life,eShield,21,575000,9300,20190301,20250331,Father,Parent,New Delhi
L-RKS-03,Rajesh Kumar Sharma,19780412,M,PRKAS3456R,919876512301,rajesh.sharma@ymail.in,ICICI Prudential,iProtect,22,600000,10500,20210401,20281231,Spouse,Spouse,New Delhi
L-RKS-04,Rajesh Kumar Sharma,19780412,M,PRKAS3456R,919876512301,rajesh.sharma@ymail.in,Max Life,Smart Secure,23,625000,11700,20220410,20300120,Father,Parent,New Delhi
L-RKS-05,Rajesh Kumar Sharma,19780412,M,PRKAS3456R,919876512301,rajesh.sharma@ymail.in,Bajaj Allianz,Life Care,24,650000,12900,20230101,20260418,Spouse,Spouse,New Delhi
L-RKS-06,Rajesh Kumar Sharma,19780412,M,PRKAS3456R,919876512301,rajesh.sharma@ymail.in,Tata AIA,Sampoorna,25,675000,14100,20230601,20260329,Father,Parent,New Delhi
L-PVK-01,Priya Venkatesh,19910522,F,VENPK7890P,919812345672,priya.venkat@ymail.in,HDFC Life,Smart Protect,20,600000,8200,20200101,20240630,Spouse,Spouse,Chennai
L-PVK-02,Priya Venkatesh,19910522,F,VENPK7890P,919812345672,priya.venkat@ymail.in,SBI Life,eShield,21,625000,9400,20190301,20250331,Father,Parent,Chennai
L-PVK-03,Priya Venkatesh,19910522,F,VENPK7890P,919812345672,priya.venkat@ymail.in,ICICI Prudential,iProtect,22,650000,10600,20210401,20281231,Spouse,Spouse,Chennai
L-PVK-04,Priya Venkatesh,19910522,F,VENPK7890P,919812345672,priya.venkat@ymail.in,Max Life,Smart Secure,23,675000,11800,20220410,20300120,Father,Parent,Chennai
L-PVK-05,Priya Venkatesh,19910522,F,VENPK7890P,919812345672,priya.venkat@ymail.in,Bajaj Allianz,Life Care,24,700000,13000,20230101,20260418,Spouse,Spouse,Chennai
L-PVK-06,Priya Venkatesh,19910522,F,VENPK7890P,919812345672,priya.venkat@ymail.in,Tata AIA,Sampoorna,25,725000,14200,20230601,20260329,Father,Parent,Chennai
L-AKU-01,Amitabh Kulkarni,19861103,M,KULAM2345K,919823456783,amit.kulkarni@ymail.in,HDFC Life,Smart Protect,20,300000,8300,20200101,20240630,Spouse,Spouse,Pune
L-AKU-02,Amitabh Kulkarni,19861103,M,KULAM2345K,919823456783,amit.kulkarni@ymail.in,SBI Life,eShield,21,325000,9500,20190301,20250331,Father,Parent,Pune
L-AKU-03,Amitabh Kulkarni,19861103,M,KULAM2345K,919823456783,amit.kulkarni@ymail.in,ICICI Prudential,iProtect,22,350000,10700,20210401,20281231,Spouse,Spouse,Pune
L-AKU-04,Amitabh Kulkarni,19861103,M,KULAM2345K,919823456783,amit.kulkarni@ymail.in,Max Life,Smart Secure,23,375000,11900,20220410,20300120,Father,Parent,Pune
L-AKU-05,Amitabh Kulkarni,19861103,M,KULAM2345K,919823456783,amit.kulkarni@ymail.in,Bajaj Allianz,Life Care,24,400000,13100,20230101,20260418,Spouse,Spouse,Pune
L-AKU-06,Amitabh Kulkarni,19861103,M,KULAM2345K,919823456783,amit.kulkarni@ymail.in,Tata AIA,Sampoorna,25,425000,14300,20230601,20260329,Father,Parent,Pune
L-KVR-01,Kavitha Reddy,19930718,F,REDKY6789K,919834567894,kavitha.reddy@ymail.in,HDFC Life,Smart Protect,20,350000,8400,20200101,20240630,Spouse,Spouse,Hyderabad
L-KVR-02,Kavitha Reddy,19930718,F,REDKY6789K,919834567894,kavitha.reddy@ymail.in,SBI Life,eShield,21,375000,9600,20190301,20250331,Father,Parent,Hyderabad
L-KVR-03,Kavitha Reddy,19930718,F,REDKY6789K,919834567894,kavitha.reddy@ymail.in,ICICI Prudential,iProtect,22,400000,10800,20210401,20281231,Spouse,Spouse,Hyderabad
